,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
684,685,21.2,west coast,evening,0.24,0.7000000000000001,2,9,night owl,baseball,3,junior
684,685,49.45,west coast,noon,0.05,0.66,1,9,night owl,baseball,3,junior
684,685,0.43,west coast,noon,0.08,0.5,1,10,night owl,baseball,3,junior
684,685,16.82,west coast,morning,0.0,0.56,1,10,night owl,baseball,3,junior
684,685,19.23,west coast,noon,0.0,0.84,1,10,night owl,baseball,3,junior
684,685,33.730000000000004,west coast,noon,0.0,0.74,2,8,night owl,baseball,3,junior
684,685,23.66,west coast,noon,0.22,0.36,3,10,night owl,baseball,3,junior
684,685,34.96,west coast,morning,0.07,0.2,2,8,night owl,baseball,3,junior
684,685,5.43,west coast,noon,0.3,0.5700000000000001,2,7,night owl,baseball,3,junior
684,685,20.15,west coast,noon,0.49,0.16,1,7,night owl,baseball,3,junior
