,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
904,905,62.82,west coast,evening,0.84,0.76,6,9,night owl,frisbee,4,frosh
904,905,61.97,west coast,evening,0.95,0.67,7,10,night owl,frisbee,4,frosh
904,905,53.24,west coast,noon,1.0,0.59,5,11,night owl,frisbee,4,frosh
904,905,72.59,west coast,noon,0.93,1.0,4,11,night owl,frisbee,4,frosh
904,905,76.27,west coast,noon,1.0,0.99,6,11,night owl,frisbee,4,frosh
904,905,83.2,west coast,evening,1.0,1.0,6,12,night owl,frisbee,4,frosh
904,905,74.87,west coast,evening,1.0,1.0,4,12,night owl,frisbee,4,frosh
904,905,59.14,west coast,noon,0.96,0.93,3,11,night owl,frisbee,4,frosh
904,905,58.370000000000005,west coast,noon,0.8200000000000001,0.93,3,12,night owl,frisbee,4,frosh
904,905,34.54,west coast,noon,0.5,0.78,3,11,night owl,frisbee,4,frosh
