,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
151,152,0.0,east coast,evening,0.4,0.02,4,1,night owl,gymnastics,5,sophomore
151,152,21.16,east coast,noon,0.74,0.0,3,1,night owl,gymnastics,5,sophomore
151,152,0.0,east coast,noon,0.61,0.0,2,1,night owl,gymnastics,5,sophomore
151,152,0.0,east coast,noon,0.54,0.0,4,1,night owl,gymnastics,5,sophomore
151,152,44.46,east coast,noon,0.09,0.0,4,1,night owl,gymnastics,5,sophomore
151,152,4.61,west coast,noon,0.17,0.17,2,1,night owl,gymnastics,5,sophomore
151,152,70.93,west coast,noon,0.08,0.32,3,0,night owl,gymnastics,5,sophomore
151,152,30.76,west coast,noon,0.4,0.48,3,0,night owl,gymnastics,5,sophomore
151,152,41.03,west coast,noon,0.56,0.6900000000000001,4,0,night owl,gymnastics,5,sophomore
151,152,51.22,west coast,morning,0.31,1.0,5,0,night owl,gymnastics,5,sophomore
