,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
831,832,35.51,west coast,morning,0.44,0.21,4,5,night owl,baseball,5,frosh
831,832,29.48,west coast,noon,0.52,0.54,3,4,night owl,baseball,5,frosh
831,832,46.43,west coast,noon,0.78,0.73,2,4,night owl,baseball,5,frosh
831,832,23.2,west coast,noon,0.64,0.42,0,4,night owl,baseball,5,frosh
831,832,11.41,west coast,noon,0.66,0.0,1,5,night owl,baseball,5,frosh
831,832,15.84,west coast,noon,0.93,0.13,2,3,night owl,baseball,5,frosh
831,832,30.5,west coast,noon,1.0,0.11,2,2,night owl,baseball,5,frosh
831,832,29.15,west coast,noon,0.88,0.05,4,2,night owl,baseball,5,frosh
831,832,33.92,west coast,noon,1.0,0.38,6,2,night owl,baseball,5,frosh
831,832,38.44,west coast,noon,1.0,0.44,6,0,night owl,baseball,5,frosh
