,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
548,549,25.92,west coast,evening,0.45,0.6900000000000001,2,7,night owl,gymnastics,5,junior
548,549,51.08,west coast,noon,0.61,0.96,5,6,night owl,gymnastics,5,junior
548,549,59.56,west coast,evening,0.68,0.93,5,4,night owl,gymnastics,5,junior
548,549,50.58,west coast,noon,0.66,0.77,6,5,night owl,gymnastics,5,junior
548,549,29.15,west coast,noon,0.49,0.75,6,6,night owl,gymnastics,5,junior
548,549,18.53,west coast,noon,0.0,1.0,5,6,night owl,gymnastics,5,junior
548,549,29.04,west coast,noon,0.0,1.0,6,6,night owl,gymnastics,5,junior
548,549,34.38,west coast,morning,0.0,0.96,6,6,night owl,gymnastics,5,junior
548,549,20.57,west coast,noon,0.02,0.8200000000000001,5,6,night owl,gymnastics,5,junior
548,549,18.77,west coast,noon,0.0,0.54,5,4,night owl,gymnastics,5,junior
