,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
70,71,35.39,east coast,evening,0.53,0.15,9,3,night owl,curling,1,junior
70,71,15.65,east coast,morning,0.0,0.24,9,3,night owl,curling,1,junior
70,71,27.96,east coast,noon,0.0,0.39,9,2,night owl,curling,1,junior
70,71,27.64,east coast,evening,0.03,0.26,10,1,night owl,curling,1,junior
70,71,27.62,east coast,noon,0.1,0.0,10,0,night owl,curling,1,junior
70,71,5.23,west coast,noon,0.0,0.13,9,0,night owl,curling,1,junior
70,71,26.14,west coast,noon,0.0,0.0,9,2,night owl,curling,1,junior
70,71,23.62,west coast,noon,0.0,0.0,9,4,night owl,curling,1,junior
70,71,34.33,west coast,noon,0.12,0.0,9,4,night owl,curling,1,junior
70,71,44.77,west coast,noon,0.0,0.0,9,4,night owl,curling,1,junior
