,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
249,250,25.62,east coast,evening,0.18,0.31,4,6,night owl,gymnastics,1,senior
249,250,8.71,east coast,noon,0.29,0.53,4,5,night owl,gymnastics,1,senior
249,250,24.35,east coast,evening,0.32,0.73,4,6,night owl,gymnastics,1,senior
249,250,48.13,east coast,noon,0.37,1.0,3,8,night owl,gymnastics,1,senior
249,250,34.15,east coast,evening,0.29,0.79,3,7,night owl,gymnastics,1,senior
249,250,39.53,west coast,noon,0.71,0.75,2,7,night owl,gymnastics,1,senior
249,250,63.18,west coast,noon,0.71,1.0,2,8,night owl,gymnastics,1,senior
249,250,55.31,west coast,morning,0.67,1.0,2,11,night owl,gymnastics,1,senior
249,250,62.55,west coast,noon,0.91,1.0,1,10,night owl,gymnastics,1,senior
249,250,72.32000000000001,west coast,noon,0.99,1.0,1,10,night owl,gymnastics,1,senior
