,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
783,784,21.1,west coast,evening,0.1,0.13,2,0,night owl,martial arts,3,frosh
783,784,25.71,west coast,evening,0.07,0.01,3,0,night owl,martial arts,3,frosh
783,784,31.05,west coast,noon,0.0,0.04,4,0,night owl,martial arts,3,frosh
783,784,2.89,west coast,evening,0.0,0.0,5,0,night owl,martial arts,3,frosh
783,784,22.83,west coast,noon,0.0,0.05,4,1,night owl,martial arts,3,frosh
783,784,27.42,west coast,evening,0.0,0.06,5,1,night owl,martial arts,3,frosh
783,784,29.45,west coast,noon,0.0,0.17,5,0,night owl,martial arts,3,frosh
783,784,12.86,west coast,noon,0.09,0.15,6,0,night owl,martial arts,3,frosh
783,784,46.29,west coast,morning,0.0,0.0,9,0,night owl,martial arts,3,frosh
783,784,18.62,west coast,noon,0.1,0.0,8,0,night owl,martial arts,3,frosh
