,student label,game score,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,previous competitive sports,# meals on day prior to game,x0_west coast,x0_evening,x0_morning,x0_noon,x0_early bird,x0_night owl,x0_frosh,x0_junior,x0_senior,x0_sophomore
0,1,60.67,1.0,0.86,8,6,curling,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,35.22,1.0,0.01,4,3,curling,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,3,17.19,0.04,0.0,4,2,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,4,40.06,0.45,0.97,3,7,baseball,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,5,68.51,1.0,0.86,9,2,martial arts,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
5,6,50.17,0.79,0.86,5,7,martial arts,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,7,24.68,1.0,0.0,8,0,gymnastics,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7,8,82.2,1.0,1.0,6,10,frisbee,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8,9,12.53,0.07,0.4,3,8,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
9,10,29.19,0.0,0.0,7,6,basketball,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
10,11,27.0,0.0,0.56,5,10,martial arts,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,12,67.04,0.93,1.0,0,5,curling,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,13,62.26,1.0,0.72,9,12,basketball,3,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,14,25.78,0.36,0.11,7,5,gymnastics,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
