,student label,game score,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,previous competitive sports,# meals on day prior to game,x0_west coast,x0_evening,x0_morning,x0_noon,x0_early bird,x0_night owl,x0_frosh,x0_junior,x0_senior,x0_sophomore
0,1,40.25,1.0,0.28,7,7,curling,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,20.23,0.86,0.0,5,3,curling,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,3,16.9,0.41,0.0,3,4,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,4,29.31,0.2,1.0,2,7,baseball,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,5,75.03,0.88,1.0,10,1,martial arts,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
5,6,45.19,0.89,0.28,4,7,martial arts,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,7,27.41,1.0,0.0,7,2,gymnastics,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,8,34.410000000000004,0.22,0.91,7,11,frisbee,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8,9,8.8,0.0,0.08,5,7,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,10,26.98,0.0,0.0,7,5,basketball,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
10,11,45.4,0.0,0.6900000000000001,8,12,martial arts,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,12,63.16,1.0,1.0,3,1,curling,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,13,57.04,1.0,0.19,8,11,basketball,3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,14,32.81,0.65,0.01,8,5,gymnastics,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,15,73.11,1.0,0.77,10,11,table tennis,5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15,16,19.04,0.13,0.0,5,1,football,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,17,49.35,1.0,0.85,7,0,curling,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,18,37.34,0.17,0.97,2,0,table tennis,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,19,45.37,0.12,0.0,7,7,martial arts,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,20,25.87,0.22,0.0,1,9,martial arts,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,21,26.16,0.02,1.0,5,7,curling,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,22,42.44,1.0,0.1,10,11,baseball,6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
22,23,50.0,0.5,1.0,0,2,martial arts,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
23,24,25.0,0.26,0.0,6,1,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
